date_time,mode_ecs,mode_chauf,temp_ecs,temp_air_ext,cons_chauf_retour,temp_chauf_aller,temp_chauf_retour
2020-12-06 12:00:02,0,0,51.1,5,38.9,47.6,46.4
2020-12-06 12:00:03,,,,,,,
2020-12-06 12:02:02,,,,,,47.2,46
2020-12-06 12:04:02,,,,,,46.9,
2020-12-06 12:04:03,,,,,,,45.6
2020-12-06 12:06:02,,,,,,46.5,45.3
2020-12-06 12:08:02,,,,,,46.1,44.9
2020-12-06 12:10:03,,,,,,45.7,44.6
2020-12-06 12:12:02,,,,,,45.3,44.3
2020-12-06 12:14:03,,,,,,45,44
2020-12-06 12:16:02,,,51,,,44.7,43.7
2020-12-06 12:18:02,,,,,,44.4,43.4
2020-12-06 12:20:03,,,,,,44.1,43.1
2020-12-06 12:22:02,,,,,,43.8,42.8
2020-12-06 12:24:03,,,,,,43.5,42.5
2020-12-06 12:26:02,,,,,,43.1,
2020-12-06 12:26:03,,,,,,,42.2
2020-12-06 12:28:02,,,,,,42.9,41.9
2020-12-06 12:30:03,,,,,,42.5,41.6
2020-12-06 12:32:02,,,,,,42.2,41.3
2020-12-06 12:34:02,,,50.9,,,41.9,41.1
2020-12-06 12:36:02,,,,,,41.6,40.8
2020-12-06 12:38:02,,,,,,41.3,40.5
2020-12-06 12:40:02,,,,,,41,40.2
2020-12-06 12:42:02,,,50.8,,,40.7,39.9
2020-12-06 12:44:02,,,50.9,,38.9,40.4,39.7
2020-12-06 12:46:02,,,,,,40.1,39.5
2020-12-06 12:48:02,,,,,,39.8,39.3
2020-12-06 12:50:02,,,50.8,,,39.6,39.1
2020-12-06 12:52:02,,,,,38.8,39.3,38.8
2020-12-06 12:54:02,,,,,,39.1,38.6
2020-12-06 12:56:02,,,,,,38.8,38.4
2020-12-06 12:58:02,,,,,38.9,38.5,38.2
2020-12-06 13:00:03,,,,5.1,,38.3,38
2020-12-06 13:02:02,,,,,39,38.1,37.7
2020-12-06 13:04:02,,,,,,37.8,37.5
2020-12-06 13:06:02,,,50.7,,38.9,37.6,37.3
2020-12-06 13:08:02,,,,,39,37.4,37.1
2020-12-06 13:10:02,,,,,,37.2,
2020-12-06 13:10:03,,,,,,,36.9
2020-12-06 13:12:02,,,50.6,,,37,36.7
2020-12-06 13:14:02,,,50.7,,,36.8,36.5
2020-12-06 13:16:02,,,,,,36.7,36.2
2020-12-06 13:16:03,,,50.6,,,,
2020-12-06 13:18:02,,,,,38.9,36.6,36.1
2020-12-06 13:20:03,,1,,,,36.5,35.9
2020-12-06 13:22:02,,,,,,31.2,26.1
2020-12-06 13:24:02,,,,,38.8,31.7,26.4
2020-12-06 13:26:02,,,50.5,,,32.9,27.5
2020-12-06 13:28:02,,,,,,33.9,28.8
2020-12-06 13:30:02,,,,,,34.9,
2020-12-06 13:30:03,,,,,38.7,,29.7
2020-12-06 13:32:02,,,50.4,,38.8,35.9,30.7
2020-12-06 13:34:02,,,50.3,,,36.7,31.6
2020-12-06 13:36:03,,,,,,37.6,32.4
2020-12-06 13:38:02,,,,,,38.2,33.1
2020-12-06 13:40:03,,,,,,38.9,33.9
2020-12-06 13:42:02,,,,,38.7,39.7,34.6
2020-12-06 13:44:02,,,,,,40.5,
2020-12-06 13:44:03,,,,,38.8,,35.5
2020-12-06 13:46:02,,,,,38.7,41.2,36.2
2020-12-06 13:48:02,,,50.2,,,41.4,36.4
2020-12-06 13:50:03,,,,,38.8,42,37
2020-12-06 13:52:02,,,,,38.7,43.1,38.1
2020-12-06 13:54:02,,,,,,44,38.9
2020-12-06 13:56:03,,,,,,44.5,39.6
2020-12-06 13:58:02,,,,,,45.2,40.3
2020-12-06 14:00:03,,,,5.3,,46,41.1
2020-12-06 14:02:02,,0,,,,44.6,41.8
2020-12-06 14:04:02,,,,,,42.8,41.3
2020-12-06 14:06:02,,,,,,42.5,41
2020-12-06 14:08:02,,,,,,42.3,40.8
2020-12-06 14:08:03,,,50.1,,,,
2020-12-06 14:10:02,,,,,,42.1,40.3
2020-12-06 14:10:03,,,50.2,,38.8,,
2020-12-06 14:12:02,,,,,,41.6,40
2020-12-06 14:14:02,,,,,,41.2,39.8
2020-12-06 14:16:02,,,50.1,,,40.9,39.6
2020-12-06 14:18:02,,,,,,40.7,
2020-12-06 14:18:03,,,,,,,39.2
2020-12-06 14:20:02,,,,,,40.6,39
2020-12-06 14:22:02,,,,,,40.5,38.7
2020-12-06 14:24:02,,,,,,40.3,38.4
2020-12-06 14:26:02,,,,,,40.1,38.1
2020-12-06 14:28:02,,,,,,39.9,
2020-12-06 14:28:03,,,,,38.9,,37.7
2020-12-06 14:30:02,,,,,38.8,39.6,37.4
2020-12-06 14:30:03,,,50,,,,
2020-12-06 14:32:02,,,,,,39.5,37.2
2020-12-06 14:34:02,,,,,,39.3,37
2020-12-06 14:36:02,,,,,,39.1,36.8
2020-12-06 14:38:02,,,,,38.7,38.9,36.6
2020-12-06 14:40:03,,,,,,38.7,36.3
2020-12-06 14:42:02,,,,,,38.5,36.2
2020-12-06 14:44:02,,,,,,38.3,36
2020-12-06 14:46:03,,,,,,38.1,35.8
2020-12-06 14:48:02,,1,,,,37.9,35.6
2020-12-06 14:50:03,,,,,,38.9,34.4
2020-12-06 14:52:02,,,,,,39.7,34.8
2020-12-06 14:54:02,,,,,,41,36.2
2020-12-06 14:56:02,,,,,,42.1,37.1
2020-12-06 14:56:03,,,49.9,,,,
2020-12-06 14:58:02,,,,,,42.9,37.9
2020-12-06 15:00:03,,,,,,43.1,
2020-12-06 15:02:02,,,,,,43.2,38.2
2020-12-06 15:04:02,,,,,,44.1,39.1
2020-12-06 15:06:02,,,,,,44.5,39.4
2020-12-06 15:08:02,,,,,,45.4,40.5
2020-12-06 15:10:02,,,49.8,,,46.3,41.3
2020-12-06 15:12:02,,,,,,43.4,41.9
2020-12-06 15:12:03,,0,49.4,,,,
2020-12-06 15:14:02,,,48.4,,,42.9,41.5
2020-12-06 15:16:02,,,47.5,,,42.4,41.3
2020-12-06 15:18:02,,,,,,42.2,40.9
2020-12-06 15:20:02,,,,,,42.1,40.5
2020-12-06 15:20:03,,,47.4,,,,
2020-12-06 15:22:02,,,,,,41.8,40.3
2020-12-06 15:22:03,,,47.3,,,,
2020-12-06 15:24:02,,,,,,41.5,40
2020-12-06 15:26:02,,,,,,41.6,39.6
2020-12-06 15:28:02,,,,,,41.5,39.2
2020-12-06 15:30:02,,,,,,41.2,38.8
2020-12-06 15:32:02,,,,,,41,38.6
2020-12-06 15:34:02,,,47.2,,,40.8,38.3
2020-12-06 15:36:02,,,,,,40.6,38
2020-12-06 15:38:02,,,,,,40.3,37.6
2020-12-06 15:40:02,,,,,,40.1,
2020-12-06 15:40:03,,,,,,,37.4
2020-12-06 15:42:02,,,,,,39.9,37.1
2020-12-06 15:44:02,,,47.1,,,39.6,36.8
2020-12-06 15:46:02,,,,,,39.4,36.6
2020-12-06 15:48:02,,,,,,39.2,36.4
2020-12-06 15:50:02,,,,,,39,
2020-12-06 15:50:03,,,,,,,36.2
2020-12-06 15:52:02,,,,,,38.8,36
2020-12-06 15:54:02,,,47,,38.6,38.6,35.7
2020-12-06 15:56:02,,1,,,38.7,38.4,35.6
2020-12-06 15:58:02,,,,,,40.6,36.1
2020-12-06 16:00:03,,,,5.4,,41.3,36.2
2020-12-06 16:02:02,,,,,,42.2,37.4
2020-12-06 16:04:02,,,,,,43.3,38.2
2020-12-06 16:06:02,,,,,,44,39.1
2020-12-06 16:08:02,,,46.9,,,44.9,39.8
2020-12-06 16:10:02,,,,,,45.8,40.7
2020-12-06 16:12:02,,,,,,46.5,41.4
2020-12-06 16:14:02,,0,46.8,,,43.3,41.8
2020-12-06 16:16:02,,,,,,43.1,41.5
2020-12-06 16:18:02,,,,,,42.5,41.2
2020-12-06 16:20:02,,,,,,,40.7
2020-12-06 16:22:02,,,,,,42,40.3
2020-12-06 16:24:02,,,,,,41.5,40.1
2020-12-06 16:26:02,,,46.7,,,41.3,39.8
2020-12-06 16:28:02,,,,,,41.2,39.5
2020-12-06 16:30:02,,,,,,,39.1
2020-12-06 16:32:02,,,,,,41,38.7
2020-12-06 16:34:02,,,46.6,,,40.8,38.4
2020-12-06 16:36:02,,,,,,40.5,38.3
2020-12-06 16:38:02,,,,,,40.3,
2020-12-06 16:38:03,,,,,,,38
2020-12-06 16:40:02,,,,,,40,37.6
2020-12-06 16:42:02,,,,,,39.8,37.3
2020-12-06 16:44:02,,,46.4,,,39.6,37.1
2020-12-06 16:46:02,,,,,,39.3,37
2020-12-06 16:48:02,,,,,,39.1,36.8
2020-12-06 16:50:02,,,,,,38.9,
2020-12-06 16:50:03,,,,,,,36.6
2020-12-06 16:52:02,,,,,,38.7,36.2
2020-12-06 16:54:02,,,,,,38.5,36
2020-12-06 16:56:02,,,,,,38.4,35.8
2020-12-06 16:58:02,,,,,,37.7,35.4
2020-12-06 16:58:03,,1,,,,,
2020-12-06 17:00:02,,,,5.3,,,
2020-12-06 17:00:03,,,,,,39.3,34.6
2020-12-06 17:02:02,,,46.3,,,40.2,35.2
2020-12-06 17:04:02,,,,,38.8,41.4,36.5
2020-12-06 17:06:03,,,,,,42.3,37.4
2020-12-06 17:08:02,,,,,,43.1,38.1
2020-12-06 17:10:03,,,46.2,,,43.9,39
2020-12-06 17:12:02,,,,,,44.6,39.5
2020-12-06 17:14:02,,,,,,45.1,40.2
2020-12-06 17:16:02,,,,,,46.1,41.2
2020-12-06 17:18:02,,0,,,38.9,43.7,41.6
2020-12-06 17:20:03,,,46.1,,,42.9,41.2
2020-12-06 17:22:02,,,,,,42.5,41
2020-12-06 17:24:02,,,,,,42.4,
2020-12-06 17:24:03,,,,,,,40.6
2020-12-06 17:26:02,,,,,,42.2,
2020-12-06 17:26:03,,,,,,,40.1
2020-12-06 17:28:02,,,46,,,41.6,39.8
2020-12-06 17:30:02,,,,,,41.2,
2020-12-06 17:30:03,,,,,,,39.7
2020-12-06 17:32:02,,,,,,40.8,39.5
2020-12-06 17:34:02,,,,,,40.5,39.3
2020-12-06 17:36:02,,,,,,40.3,39.1
2020-12-06 17:38:02,,,,,,40.2,38.8
2020-12-06 17:40:02,,,,,,40.1,38.6
2020-12-06 17:42:02,,,,,,39.9,38
2020-12-06 17:44:02,,,45.9,,38.8,39.6,37.3
2020-12-06 17:46:02,,,45.7,,,39.2,
2020-12-06 17:48:02,,,,,,38.7,37.2
2020-12-06 17:48:03,,,45.4,,,,
2020-12-06 17:50:02,,,,,,38.5,37.1
2020-12-06 17:50:03,,,45.3,,,,
2020-12-06 17:52:02,,,,,,38.2,
2020-12-06 17:52:03,,,,,,,37
2020-12-06 17:54:02,,,,,,38,36.8
2020-12-06 17:56:02,,,,,,37.7,36.6
2020-12-06 17:58:02,,,45.2,,38.9,37.4,36.4
2020-12-06 18:00:02,,,,5.2,,37.1,36
2020-12-06 18:00:03,,,45.1,,38.8,,
2020-12-06 18:02:02,,1,,,38.9,36.9,35.6
2020-12-06 18:04:02,,,,,,39.8,35.5
2020-12-06 18:04:03,,,,,38.8,,
2020-12-06 18:06:02,,,,,,40.3,35.3
2020-12-06 18:08:02,,,,,38.9,41.1,36.2
2020-12-06 18:10:03,,,45,,,42.5,37.6
2020-12-06 18:12:02,,,44.9,,,43.4,38.3
2020-12-06 18:14:02,,,,,,44.2,39.1
2020-12-06 18:16:02,,,,,,45,
2020-12-06 18:16:03,,,,,,,40.1
2020-12-06 18:18:02,,,44.8,,,46,41
2020-12-06 18:20:03,,,44.7,,,46.7,41.8
2020-12-06 18:22:02,,0,44.5,,,43.3,41.9
2020-12-06 18:24:02,,,,,,43.1,41.6
2020-12-06 18:24:03,,,44.2,,39,,
2020-12-06 18:26:02,,,,,,42.7,41.4
2020-12-06 18:26:03,,,43.9,,38.9,,
2020-12-06 18:28:02,,,,,39,42.3,41
2020-12-06 18:30:03,,,,,38.9,42.4,40.5
2020-12-06 18:32:02,,,,,,42.1,40
2020-12-06 18:32:03,,,43.8,,,,
2020-12-06 18:34:02,,,43.7,,,41.8,39.7
2020-12-06 18:36:02,,,,,39,41.5,39.5
2020-12-06 18:38:02,,,43.6,,,41.2,39.4
2020-12-06 18:40:02,,,,,,41.1,39.1
2020-12-06 18:42:02,,,43.5,,,40.9,38.8
2020-12-06 18:44:02,,,,,,40.7,38.5
2020-12-06 18:46:02,,,,,,40.4,38.2
2020-12-06 18:48:02,,,,,,40.2,37.9
2020-12-06 18:50:02,,,,,,39.9,37.6
2020-12-06 18:52:02,,,,,,39.7,37.4
2020-12-06 18:54:02,,,43.4,,,39.5,37.1
2020-12-06 18:56:02,,,,,,39.3,36.8
2020-12-06 18:58:02,,,43.2,,,39.1,36.6
2020-12-06 19:00:03,,,,5,,38.9,36.4
2020-12-06 19:02:02,,,,,,38.7,36.2
2020-12-06 19:04:02,,,43,,,38.5,36
2020-12-06 19:06:02,,1,42.6,,,,35.9
2020-12-06 19:08:02,,,41.7,,,40.7,36
2020-12-06 19:10:02,,,,,,41.1,35.9
2020-12-06 19:10:03,,,41.6,,,,
2020-12-06 19:12:02,,,41.4,,,41,36.1
2020-12-06 19:14:02,,,,,,42.2,37.2
2020-12-06 19:16:02,,,,,,43.2,38.1
2020-12-06 19:18:02,,,,,,44.1,39
2020-12-06 19:20:02,,,,,,44.8,
2020-12-06 19:20:03,,,,,,,39.7
2020-12-06 19:22:02,,,,,,45.7,40.8
2020-12-06 19:24:02,,,,,39.1,46.5,41.6
2020-12-06 19:26:02,,0,40.8,,,44.2,42.2
2020-12-06 19:28:02,,,,,,43.3,
2020-12-06 19:28:03,,,,,,,41.8
2020-12-06 19:30:02,,,,,,43.1,41.6
2020-12-06 19:32:02,,,,,,42.6,41.3
2020-12-06 19:34:02,,,,,,42.2,
2020-12-06 19:34:03,,,40.5,,,,41
2020-12-06 19:36:02,,,,,,42,40.7
2020-12-06 19:38:02,,,,,,41.8,40.3
2020-12-06 19:40:03,,,,,,42.1,39.9
2020-12-06 19:42:02,,,,,,,39.3
2020-12-06 19:44:02,,,40.4,,39,41.9,39.1
2020-12-06 19:46:02,,,,,,41.6,38.8
2020-12-06 19:48:02,,,,,,41.3,38.6
2020-12-06 19:50:03,,,,,39.1,41,38.4
2020-12-06 19:52:02,,,,,,40.8,38.1
2020-12-06 19:54:02,,,,,,40.5,37.7
2020-12-06 19:54:03,,,40.3,,,,
2020-12-06 19:56:02,,,,,,40.3,37.5
2020-12-06 19:56:03,,,,,39,,
2020-12-06 19:58:02,,,,,,40,37.2
2020-12-06 20:00:03,,,,4.8,39.1,39.8,37
2020-12-06 20:02:02,,,,,,39.6,
2020-12-06 20:02:03,,,,,,,36.7
2020-12-06 20:04:02,,,,,39.2,39.4,36.5
2020-12-06 20:06:02,,,40.2,,39.3,39.1,36.3
2020-12-06 20:08:02,,1,,,,40.6,36.2
2020-12-06 20:10:02,,,,,,41.3,
2020-12-06 20:12:02,,,,,,,36.5
2020-12-06 20:14:02,,,,,,42.9,37.9
2020-12-06 20:16:02,,,40.1,,,43.7,38.6
2020-12-06 20:18:02,,,,,,44.4,
2020-12-06 20:18:03,,,,,,,39.4
2020-12-06 20:20:02,,,,,,45.3,
2020-12-06 20:20:03,,,38.6,,,,40.3
2020-12-06 20:22:02,,,,,,46.1,41.1
2020-12-06 20:22:03,,,36.3,,,,
2020-12-06 20:24:02,,,33.9,,,46.9,41.8
2020-12-06 20:26:02,,0,31.4,,,43.6,42.2
2020-12-06 20:28:02,,,30.9,,,43.5,41.9
2020-12-06 20:30:02,,,,,,43.1,41.6
2020-12-06 20:30:03,,,31.1,,,,
2020-12-06 20:32:02,,,,,,42.6,41.3
2020-12-06 20:34:02,,,31.2,,,42.4,40.9
2020-12-06 20:36:02,,,,,,42.3,40.6
2020-12-06 20:38:02,,,,,,41.9,
2020-12-06 20:38:03,,,,,,,40.2
2020-12-06 20:40:02,,,,,,,39.9
2020-12-06 20:40:03,,,,,39.2,,
2020-12-06 20:42:03,,,,,39.3,,39.5
2020-12-06 20:44:02,,,,,39.2,41.8,39.2
2020-12-06 20:46:02,,,,,,41.6,38.9
2020-12-06 20:48:03,,,31,,,41.3,38.7
2020-12-06 20:50:02,,,,,,41,
2020-12-06 20:50:03,,,,,,,38.5
2020-12-06 20:52:03,,,,,,40.6,38.4
2020-12-06 20:54:02,,,,,39.1,40.3,38.1
2020-12-06 20:56:02,,,,,,40,37.9
2020-12-06 20:58:02,,,,,,39.8,37.5
2020-12-06 21:00:02,,,,,,39.6,37.1
2020-12-06 21:02:02,,,,,39.2,39.4,36.8
2020-12-06 21:04:02,,,,,,39.3,36.5
2020-12-06 21:06:02,,,,,,39.1,36.3
2020-12-06 21:08:02,,1,,,,38.9,36.1
2020-12-06 21:10:03,,,,,,39.9,35.5
2020-12-06 21:12:02,,,,,,40.6,35.7
2020-12-06 21:14:02,,,,,,42.1,37.1
2020-12-06 21:16:03,,,,,39.1,43.1,38.1
2020-12-06 21:18:02,,,,,39.2,43.9,38.8
2020-12-06 21:20:03,,,,,,44.5,39.4
2020-12-06 21:22:02,,,,,,44.2,39
2020-12-06 21:24:02,,,,,,44.8,39.6
2020-12-06 21:24:03,,,,,39.3,,
2020-12-06 21:26:02,,,,,39.2,46,40.9
2020-12-06 21:28:02,,,,,39.3,46.8,41.9
2020-12-06 21:30:02,,,,,,43.9,
2020-12-06 21:30:03,,0,,,,,42.3
2020-12-06 21:32:02,,,,,,43.5,42
2020-12-06 21:34:02,,,,,34.3,43.1,41.7
2020-12-06 21:36:02,,,,,,42.7,41.4
2020-12-06 21:38:02,,,,,,42.6,41
2020-12-06 21:40:02,,,,,34.2,42.5,40.5
2020-12-06 21:42:02,,,,,34.3,42.3,40.2
2020-12-06 21:44:02,,,,,,41.9,40
2020-12-06 21:46:02,,,,,34.2,,39.6
2020-12-06 21:48:02,,,,,,41.7,39.1
2020-12-06 21:50:02,,,,,,41.5,38.8
2020-12-06 21:52:02,,,,,,41.3,38.6
2020-12-06 21:54:02,,,30.2,,,41.1,38.3
2020-12-06 21:56:02,,,29.7,,,40.8,38.1
2020-12-06 21:58:02,,,,,,40.5,37.8
2020-12-06 22:00:02,,,,4.7,,40.3,37.6
2020-12-06 22:02:02,,,29.8,,34.3,40,37.3
2020-12-06 22:04:02,,,,,34.2,39.8,37.1
2020-12-06 22:06:02,,,,,,39.6,36.8
2020-12-06 22:08:02,,,,,,39.4,36.6
2020-12-06 22:10:02,,,,,,39.2,
2020-12-06 22:10:03,,,,,,,36.4
2020-12-06 22:12:02,,,,,,39,36.2
2020-12-06 22:14:02,,,,,,38.8,36
2020-12-06 22:16:02,,,,,,38.6,
2020-12-06 22:16:03,,,,,,,35.8
2020-12-06 22:18:02,,,,,,38.4,35.6
2020-12-06 22:20:03,,,,,,38.2,35.4
2020-12-06 22:22:02,,,,,34.1,38,35.3
2020-12-06 22:24:02,,,,,,37.7,35
2020-12-06 22:24:03,,,,,34.2,,
2020-12-06 22:26:02,,,,,,37.5,34.9
2020-12-06 22:28:02,,,,,,37.3,34.7
2020-12-06 22:30:02,,,,,,37.1,
2020-12-06 22:30:03,,,,,34.1,,34.6
2020-12-06 22:32:02,,,,,34.2,36.9,34.4
